timestamps,TP9,AF7,AF8,TP10,Right AUX
1733974928.2173662,31.73828125,10.25390625,-17.08984375,-3.41796875,0.0
1733974928.2212675,0.48828125,8.30078125,-11.71875,63.96484375,0.0
1733974928.2251685,-6.34765625,-0.48828125,4.39453125,59.5703125,0.0
1733974928.2290695,12.20703125,0.9765625,-1.46484375,-13.18359375,0.0
1733974928.2329705,-39.0625,2.9296875,-4.39453125,-40.52734375,0.0
1733974928.2368717,-20.5078125,1.953125,-25.390625,-39.0625,0.0
1733974928.2407727,44.921875,-0.9765625,-27.34375,-12.20703125,0.0
1733974928.2446737,15.625,2.9296875,-15.625,16.11328125,0.0
1733974928.2485747,-3.90625,5.859375,-21.484375,16.6015625,0.0
1733974928.252476,27.83203125,3.90625,-29.296875,-7.32421875,0.0
1733974928.256377,25.390625,5.37109375,-18.06640625,-18.5546875,0.0
1733974928.260278,22.4609375,10.25390625,-11.23046875,3.90625,0.0
1733974928.26427,62.98828125,20.5078125,-21.484375,55.6640625,0.0
1733974928.268171,42.96875,16.6015625,-26.3671875,44.43359375,0.0
1733974928.272072,-38.57421875,4.8828125,-17.08984375,-18.06640625,0.0
1733974928.2759733,19.04296875,4.39453125,-20.01953125,-24.4140625,0.0
1733974928.2798743,48.33984375,7.32421875,-33.69140625,11.23046875,0.0
1733974928.2837753,0.9765625,6.34765625,-29.78515625,49.31640625,0.0
1733974928.2876763,-16.11328125,4.39453125,-21.484375,33.69140625,0.0
1733974928.2915776,-23.92578125,10.25390625,-20.5078125,-29.296875,0.0
1733974928.2954786,-8.30078125,13.671875,-23.92578125,-35.64453125,0.0
1733974928.2993796,-24.4140625,-0.9765625,-30.2734375,-10.25390625,0.0
1733974928.3032806,-4.8828125,1.953125,-19.04296875,13.18359375,0.0
1733974928.3071818,11.23046875,7.32421875,-18.06640625,2.44140625,0.0
1733974928.3111713,-43.9453125,-4.39453125,-16.6015625,0.0,0.0
1733974928.3150723,-35.64453125,5.859375,-6.8359375,-16.11328125,0.0
1733974928.3189735,37.59765625,13.18359375,-12.20703125,-11.23046875,0.0
1733974928.3228745,47.8515625,5.37109375,-19.53125,22.4609375,0.0
1733974928.3267756,0.0,0.9765625,-24.90234375,15.13671875,0.0
1733974928.3306766,-20.5078125,-1.46484375,-21.484375,-7.32421875,0.0
1733974928.3345778,-22.94921875,-3.90625,-19.04296875,-12.6953125,0.0
1733974928.3384788,-27.83203125,-1.953125,-11.23046875,24.90234375,0.0
1733974928.3423798,7.32421875,1.953125,-22.94921875,32.71484375,0.0
1733974928.3462808,6.34765625,-3.41796875,-21.97265625,17.08984375,0.0
1733974928.350182,13.18359375,1.953125,2.44140625,-20.5078125,0.0
1733974928.354083,22.94921875,14.6484375,-4.39453125,-36.1328125,0.0
1733974928.3580713,-30.2734375,15.625,-10.7421875,-4.8828125,0.0
1733974928.3619723,23.4375,11.23046875,-5.37109375,37.109375,0.0
1733974928.3658733,35.15625,10.25390625,-7.8125,19.04296875,0.0
1733974928.3697746,-24.90234375,9.765625,-14.6484375,-17.578125,0.0
