timestamps,TP9,AF7,AF8,TP10,Right AUX
1734407519.4618785,68.359375,351.07421875,303.7109375,98.14453125,0.0
1734407519.4657848,69.82421875,67.3828125,165.0390625,79.1015625,0.0
1734407519.469691,0.0,-233.88671875,26.3671875,-55.6640625,0.0
1734407519.4735973,-62.01171875,-139.6484375,-72.75390625,-141.6015625,0.0
1734407519.4775035,-26.3671875,-172.8515625,26.3671875,-51.7578125,0.0
1734407519.4814098,48.828125,-168.45703125,185.546875,73.2421875,0.0
1734407519.485316,59.5703125,164.0625,196.77734375,68.359375,0.0
1734407519.4892223,-6.34765625,215.8203125,116.2109375,-39.55078125,0.0
1734407519.4931285,-66.40625,-94.23828125,-136.71875,-134.765625,0.0
1734407519.4970348,-46.875,-670.8984375,-286.62109375,-53.7109375,0.0
1734407519.500941,24.4140625,-268.5546875,128.90625,70.80078125,0.0
1734407519.5048478,49.8046875,363.28125,261.23046875,87.890625,0.0
1734407519.508754,5.37109375,32.2265625,30.2734375,-7.32421875,0.0
1734407519.5126603,-57.12890625,-252.44140625,-193.359375,-124.51171875,0.0
1734407519.5165665,-43.9453125,72.265625,17.08984375,-79.1015625,0.0
1734407519.5204728,28.80859375,290.52734375,262.20703125,53.22265625,0.0
1734407519.524379,66.40625,-99.12109375,58.10546875,89.84375,0.0
1734407519.5282853,30.76171875,-470.703125,-98.6328125,5.37109375,0.0
1734407519.5321915,-49.8046875,-347.16796875,-166.50390625,-109.375,0.0
1734407519.5360978,-53.7109375,70.80078125,29.296875,-95.703125,0.0
1734407519.540004,14.16015625,-211.9140625,67.87109375,31.73828125,0.0
1734407519.5439103,60.05859375,-603.515625,-59.08203125,96.6796875,0.0
1734407519.5478165,37.59765625,-8.30078125,148.92578125,20.01953125,0.0
1734407519.5517294,-38.57421875,64.453125,23.92578125,-112.3046875,0.0
1734407519.5556357,-54.19921875,-199.21875,-156.25,-100.09765625,0.0
1734407519.559542,2.44140625,41.015625,138.671875,36.1328125,0.0
1734407519.5634482,53.7109375,327.1484375,278.3203125,89.35546875,0.0
1734407519.5673544,48.828125,206.54296875,120.1171875,22.4609375,0.0
1734407519.5712607,-30.2734375,-370.60546875,-162.59765625,-93.75,0.0
1734407519.575167,-59.5703125,-489.74609375,-231.93359375,-104.4921875,0.0
1734407519.5790732,-2.9296875,104.98046875,183.10546875,6.34765625,0.0
1734407519.5829794,46.875,233.3984375,248.53515625,78.61328125,0.0
1734407519.5868857,42.48046875,-434.5703125,-58.10546875,34.1796875,0.0
1734407519.590792,-42.96875,-698.73046875,-242.67578125,-91.796875,0.0
1734407519.5946982,-72.265625,-211.42578125,-138.18359375,-141.11328125,0.0
1734407519.5986066,4.8828125,-21.484375,157.71484375,-13.671875,0.0
1734407519.6025128,52.24609375,-53.7109375,202.63671875,81.54296875,0.0
1734407519.606419,34.66796875,130.859375,160.64453125,36.62109375,0.0
1734407519.6103253,-32.2265625,144.53125,119.140625,-89.35546875,0.0
1734407519.6142316,-68.84765625,-172.8515625,-166.015625,-142.08984375,0.0
1734407519.6181378,-23.4375,-447.265625,-125.0,-31.25,0.0
1734407519.622044,24.4140625,-108.88671875,217.7734375,68.84765625,0.0
1734407519.6259503,16.11328125,215.33203125,199.70703125,42.48046875,0.0
1734407519.6298566,-48.33984375,-235.3515625,-81.54296875,-70.3125,0.0
1734407519.6337628,-89.84375,-434.08203125,-284.1796875,-132.32421875,0.0
1734407519.637669,-47.8515625,11.71875,55.17578125,-43.45703125,0.0
1734407519.6415753,16.11328125,195.80078125,251.953125,63.96484375,0.0
1734407519.6454833,26.85546875,-171.875,21.484375,62.01171875,0.0
1734407519.6493895,-32.71484375,-467.28515625,-181.15234375,-76.171875,0.0
